skill,wiki_page
General and reference,Reference
Document types,Document_type_definition
Surveys and overviews,Survey_methodology
Reference works,Reference_work
General conference proceedings,Proceedings
Biographies,Biography
General literature,Literature
Computing standards RFCs and guidelines,Request_for_Comments
Cross-computing tools and techniques,Cross-platform
Reliability,Human_reliability
Empirical studies,Empirical_research
Measurement,Measurement
Metrics,Metric_(mathematics)
Evaluation,Evaluation
Experimentation,Experimentation
Estimation,Estimation
Design,Design
Performance,Computer_performance
Validation,Software_verification_and_validation
Verification,Verification_and_validation
General skills,Skill
Advising,Advice_(opinion)
Advising people,Advise_and_Consent
Analytical,Analytics
Analyzing data,Data_analysis
Analyzing problems,Mathematical_problem
Artistic Skill,Art
Sketching,Sketch_(drawing)
Sketching charts or diagrams,Diagram
Attention to detail,Attention
Auditing financial data,Audit
Brainstorming,Brainstorming
Budgeting,Budget
Building new business,Startup_company
Business Storytelling,Storytelling
Business communication skills,Communication
Business management skills,Management
Calculations,Calculations
Communication,Communication
Computer skills,Computer_literacy
User Support,Technical_support
Updating Files,File_system
Construction,Construction
Consultation,Public_consultation
Creative Thinking,Creativity
Critical Thinking,Critical_thinking
Customer Service,Customer_service
Handling Complaints,Complaint
Serving people,Customer_service
Decision Making,Decision-making
Defining Problems,Problem_solving
Demonstrations,Demonstration_(teaching)
Designing systems,Systems_design
Determination,Determination
Diplomacy skills,Diplomacy
Driving safely,Driving
Editing,Editing
Effective listening skills,Listening
Effective study skills,Study_skills
Entertainment,Entertainment
Envisioning solutions or ideas,Divergent_thinking
Ethics,Ethics
Evaluating,Evaluation
Extracting information,Information_extraction
Financial Report Auditing,Audit
Following instructions,Education
Fundraising,Fundraising
Gathering information,Intelligence_assessment
Handling money,Automated_cash_handling
Human Resources,Human_resources
Identifying problems,Problem_solving
Imagining innovative solutions,Innovation
Information Search,Information_search_process
Information management,Information_management
Innovation,Innovation
Inspecting buildings,Building_inspection
Inspecting equipment,Inspection
Interpreting languages,Language_interpretation
Inventing,Inventing
Investigating solutions,Criminal_investigation
Investigation,Criminal_investigation
Leadership,Leadership
Leading teams,Leading_Teams
Learning,Learning
Listening,Listening
Logical Thinking,Critical_thinking
Maintenance,Maintenance
Management,Management
Conducting Meetings,Meeting
Conducting interviews,Interview
Conflict Resolution,Conflict_resolution
Confronting Others,Confronted_animals
Defining Performance Standards,Performance_management
Developing plans for projects,Project_plan
Development Management model,Model-driven_engineering
Encouraging people,Encouraging_or_assisting_a_crime_in_English_law
Enforcing rules,Enforcement
Goal Setting,Goal_setting
People management skills,People_skills
Running meetings,Meeting
Managing Finances,Finance
Managing organizations,Management
Managing people,Management
Motivation,Motivation
Multi-tasking,Computer_multitasking
Negotiation,Negotiation
Patience,Patience
Planning,Planning
Planning meetings,Meeting
Planning organisational needs,Planning
Prioritising,Prioritization
Problem Solving,Problem_solving
Reading,Reading
Reasoning,Reason
Sales,Sales
Self-motivated,Motivated_tactician
Selling ideas,Sales
Taking decisive action,Decision-making
Taking initiative,Initiative
Taking personal responsibility,Moral_responsibility
Teamwork,Teamwork
Team building,Team_building
Collaborating ideas,Collaboration
Technical,Technical_analysis
Technical Support,Technical_support
Technical work,Technical
Thinking logically,Logic
Time Management,Time_management
Toleration,Toleration
Training,Training
Translating words,Literal_translation
Verbal communication skills,Communication_skill
Working creatively,Creativity
Writing,Writing
Supervision,Supervision
Supervising employees,Supervision
Supervising operations,Supervision
Staff responsibility,Duty
Social Skill,Social_skills
Service,Service
Serving people,Customer_service
Selling products or services,Sales
Hardware,Computer_hardware
Printed circuit boards,Computer_hardware
Electromagnetic interference and compatibility,Electromagnetic_interference
PCB design and layout,DesignSpark_PCB
Communication hardware interfaces and storage,Computer_hardware
Signal processing systems,Signal_processing
Digital signal processing,Digital_signal_processing
Beamforming,Beamforming
Noise reduction,Noise_reduction
Sensors and actuators,AS-Interface
Buses and high-speed links,High-speed_rail
Displays and imagers,Display_device
External storage,External_storage
Networking hardware,Networking_hardware
Printers,Printers
Sensor applications and deployments,Sensor
Sensor devices and platforms,Sensor
Sound-based input / output,Sound_reinforcement_system
Tactile and hand-based interfaces,Interface_(computing)
Touch screens,Touchscreen
Haptic devices,Haptic_technology
Scanners,Image_scanner
Wireless devices,Wireless
Wireless integrated network sensors,Wireless_integrated_network_sensors
Electro-mechanical devices,Mechanical_computer
Integrated circuits,Integrated_circuit
3D integrated circuits,Three-dimensional_integrated_circuit
Interconnect,Interconnection
Input / output circuits General-purpose_input/output
Metallic interconnect,Interconnection
Photonic and optical interconnect,Interconnection
Radio frequency and wireless interconnect,Interconnection
Semiconductor memory,Semiconductor_memory
Dynamic memory,Memory_management
Static memory,Memory_management
Non-volatile memory,Memory_management
Read-only memory,Memory_management
Digital switches,Multilayer_switch
Transistors,Transistors
Logic families,Logic_family
Logic circuits,Logic_gate
Arithmetic and datapath circuits,Electrical_network
Asynchronous circuits,Asynchronous_circuit
Combinational circuits,Combinational_logic
Design modules and hierarchy,Software_design
Finite state machines,Finite-state_machine
Sequential circuits,Sequential_Circuits
Reconfigurable logic and FPGAs,Reconfigurable_computing
