skill, wiki_page, average_views
general and reference,  Reference ,  0
document types,  Document_type_definition,  208
surveys and overviews,  Survey_methodology,  536
reference works,  Reference_work,  222
general conference proceedings,  Proceedings,  149
biographies,  Biography,  1258
general literature,  Literature,  2865
computing standards rfcs and guidelines,  Request_for_Comments,  715
cross-computing tools and techniques,  Cross-platform,  818
reliability,  Human_reliability,  70
empirical studies,  Empirical_research,  732
measurement,  Measurement,  1471
metrics,  Metric_(mathematics),  399
evaluation,  Evaluation,  833
experimentation,  Experimentation,  19
estimation,  Estimation,  226
design,  Design,  1658
performance,  Computer_performance,  287
validation,  Software_verification_and_validation,  419
verification,  Verification_and_validation,  876
general skills,  Skill,  847
advising,  Advice_(opinion),  64
advising people,  Advise_and_Consent,  84
analytical,  Analytics,  867
analyzing data,  Data_analysis,  1877
analyzing problems,  Mathematical_problem,  86
artistic skill,  Art,  3385
sketching,  Sketch_(drawing),  394
sketching charts or diagrams,  Diagram,  716
attention to detail,  Attention,  751
auditing financial data,  Audit,  1337
brainstorming,  Brainstorming,  801
budgeting,  Budget,  1190
building new business,  Startup_company,  1721
business storytelling,  Storytelling,  830
business communication skills,  Communication,  4700
business management skills,  Management,  3189
calculations,  Calculations,  3
communication,  Communication,  4700
computer skills,  Computer_literacy,  325
user support,  Technical_support,  1039
updating files,  File_system,  1198
construction,  Construction,  1664
consultation,  Public_consultation,  61
creative thinking,  Creativity,  1150
critical thinking,  Critical_thinking,  1597
customer service,  Customer_service,  1521
handling complaints,  Complaint,  280
serving people,  Customer_service,  1521
decision making,  Decision-making,  1217
defining problems,  Problem_solving,  1264
demonstrations,  Demonstration_(teaching),  196
designing systems,  Systems_design,  465
determination,  Determination,  205
diplomacy skills,  Diplomacy,  826
driving safely,  Driving,  286
editing,  Editing,  586
effective listening skills,  Listening,  299
effective study skills,  Study_skills,  562
entertainment,  Entertainment,  1667
envisioning solutions or ideas,  Divergent_thinking,  289
ethics,  Ethics,  3503
evaluating,  Evaluation,  833
extracting information,  Information_extraction,  241
financial report auditing,  Audit,  1337
following instructions,  Education,  7093
fundraising,  Fundraising,  494
gathering information,  Intelligence_assessment,  117
handling money,  Automated_cash_handling,  23
human resources,  Human_resources,  2665
identifying problems,  Problem_solving,  1264
imagining innovative solutions,  Innovation,  1463
information search,  Information_search_process,  41
information management,  Information_management,  470
innovation,  Innovation,  1463
inspecting buildings,  Building_inspection,  71
inspecting equipment,  Inspection,  256
interpreting languages,  Language_interpretation,  286
inventing,  Inventing,  7
investigating solutions,  Criminal_investigation,  148
investigation,  Criminal_investigation,  148
leadership,  Leadership,  2491
leading teams,  Leading_Teams,  2
learning,  Learning,  1442
listening,  Listening,  299
logical thinking,  Critical_thinking,  1597
maintenance,  Maintenance,  329
management,  Management,  3189
conducting meetings,  Meeting,  446
conducting interviews,  Interview,  974
conflict resolution,  Conflict_resolution,  606
confronting others,  Confronted_animals,  17
defining performance standards,  Performance_management,  635
developing plans for projects,  Project_plan,  401
development management model,  Model-driven_engineering,  110
encouraging people,  Encouraging_or_assisting_a_crime_in_English_law,  25
enforcing rules,  Enforcement,  59
goal setting,  Goal_setting,  535
people management skills,  People_skills,  156
running meetings,  Meeting,  446
managing finances,  Finance,  2181
managing organizations,  Management,  3189
managing people,  Management,  3189
motivation,  Motivation,  2740
multi-tasking,  Computer_multitasking,  460
negotiation,  Negotiation,  820
patience,  Patience,  544
planning,  Planning,  1137
planning meetings,  Meeting,  446
planning organisational needs,  Planning,  1137
prioritising,  Prioritization,  6
problem solving,  Problem_solving,  1264
reading,  Reading,  228
reasoning,  Reason,  946
sales,  Sales,  1119
self-motivated,  Motivated_tactician,  14
selling ideas,  Sales,  1119
taking decisive action,  Decision-making,  1217
taking initiative,  Initiative,  260
taking personal responsibility,  Moral_responsibility,  300
teamwork,  Teamwork,  574
team building,  Team_building,  588
collaborating ideas,  Collaboration,  670
technical,  Technical_analysis,  615
technical support,  Technical_support,  1039
technical work,  Technical,  121
thinking logically,  Logic,  2274
time management,  Time_management,  1439
toleration,  Toleration,  238
training,  Training,  760
translating words,  Literal_translation,  209
verbal communication skills,  Communication_skill,  30
working creatively,  Creativity,  1150
writing,  Writing,  1171
supervision,  Supervision,  135
supervising employees,  Supervision,  135
supervising operations,  Supervision,  135
staff responsibility,  Duty,  217
social skill,  Social_skills,  431
service,  Service,  300
serving people,  Customer_service,  1521
selling products or services,  Sales,  1119
hardware,  Computer_hardware,  3119
printed circuit boards,  Computer_hardware,  3119
electromagnetic interference and compatibility,  Electromagnetic_interference,  693
pcb design and layout,  DesignSpark_PCB,  26
communication hardware interfaces and storage,  Computer_hardware,  3119
signal processing systems,  Signal_processing,  636
digital signal processing,  Digital_signal_processing,  779
beamforming,  Beamforming,  456
noise reduction,  Noise_reduction,  308
sensors and actuators,  AS-Interface,  107
buses and high-speed links,  High-speed_rail,  1282
displays and imagers,  Display_device,  440
external storage,  External_storage,  171
networking hardware,  Networking_hardware,  603
printers,  Printers,  10
sensor applications and deployments,  Sensor,  1133
sensor devices and platforms,  Sensor,  1133
sound-based input / output,  Sound_reinforcement_system,  202
tactile and hand-based interfaces,  Interface_(computing),  565
touch screens,  Touchscreen,  1365
haptic devices,  Haptic_technology,  699
scanners,  Image_scanner,  846
wireless devices,  Wireless,  1200
wireless integrated network sensors,  Wireless_integrated_network_sensors,  6
electro-mechanical devices,  Mechanical_computer,  180
integrated circuits,  Integrated_circuit,  2731
3d integrated circuits,  Three-dimensional_integrated_circuit,  170
interconnect,  Interconnection,  102
input / output circuits,  General-purpose_input/output,  0
metallic interconnect,  Interconnection,  102
photonic and optical interconnect,  Interconnection,  102
radio frequency and wireless interconnect,  Interconnection,  102
semiconductor memory,  Semiconductor_memory,  203
dynamic memory,  Memory_management,  470
static memory,  Memory_management,  470
non-volatile memory,  Memory_management,  470
read-only memory,  Memory_management,  470
digital switches,  Multilayer_switch,  104
transistors,  Transistors,  83
logic families,  Logic_family,  288
logic circuits,  Logic_gate,  1682
arithmetic and datapath circuits,  Electrical_network,  355
asynchronous circuits,  Asynchronous_circuit,  119
combinational circuits,  Combinational_logic,  233
design modules and hierarchy,  Software_design,  703
finite state machines,  Finite-state_machine,  1169
sequential circuits,  Sequential_Circuits,  79
reconfigurable logic and fpgas,  Reconfigurable_computing,  78
hardware accelerators,  Hardware_acceleration,  188
high-speed input / output,  Input/output,  0
programmable logic elements,  Programmable_logic_controller,  3806
programmable interconnect,  Field-programmable_gate_array,  1468
reconfigurable logic applications,  Reconfigurable_computing,  78
very large scale integration design,  Very-large-scale_integration,  604
3d integrated circuits,  Three-dimensional_integrated_circuit,  170
analog and mixed-signal circuits,  Mixed-signal_integrated_circuit,  106
data conversion,  Data_conversion,  149
clock generation and timing,  Clock_generator,  96
analog and mixed-signal circuit optimization,  OrCAD,  186
radio frequency and wireless circuits,  Radio-frequency_engineering,  201
wireline communication,  Wired_communication,  95
analog and mixed-signal circuit synthesis,  Mixed-signal_integrated_circuit,  106
application-specific vlsi designs,  Application-specific_integrated_circuit,  749
application specific integrated circuits,  Application-specific_integrated_circuit,  749
application specific instruction set processors,  Application-specific_instruction_set_processor,  41
application specific processors,  Application-specific_instruction_set_processor,  41
design reuse and communication-based design,  Model-based_design,  116
network on chip,  Network_on_a_chip,  88
system on a chip,  System_on_a_chip,  776
platform-based design,  Platform-based_design,  38
hard and soft ip,  Soft_intellectual_property,  9
design rules,  Design_rule_checking,  75
economics of chip design and manufacturing,  Processor_design,  137
full-custom circuits,  Full_custom,  35
vlsi design manufacturing considerations,  Design_for_manufacturability,  290
on-chip resource management,  Symmetric_multiprocessing,  346
on-chip sensors,  Lab-on-a-chip,  184
standard cell libraries,  Standard_cell,  87
vlsi packaging,  Integrated_circuit_packaging,  141
die and wafer stacking,  Three-dimensional_integrated_circuit,  170
input / output styles,  Procedural_programming,  704
multi-chip modules,  Multi-chip_module,  77
package-level interconnect,  Wafer-level_packaging,  65
vlsi system specification and constraints,  Design_closure,  38
power and energy,  Power_(physics),  2217
thermal issues,  Thermal_management_(electronics),  82
temperature monitoring,  Temperature_data_logger,  49
temperature simulation and estimation,  Run-time_estimation_of_system_and_sub-system_level_power_consumption,  8
temperature control,  Temperature_control,  109
temperature optimization,  Polymerase_chain_reaction_optimization,  69
energy generation and storage,  Grid_energy_storage,  409
batteries,  Battery_(electricity),  2221
fuel-based energy,  Carbon-based_fuel,  48
renewable energy,  Renewable_energy,  3465
reusable energy storage,  Energy_storage,  612
energy distribution,  Electric_power_distribution,  848
energy metering,  Electricity_meter,  766
power conversion,  Electric_power_conversion,  180
power networks,  UK_Power_Networks,  75
smart grid,  Smart_grid,  835
impact on the environment,  Human_impact_on_the_environment,  1405
power estimation and optimization,  Power_optimization_(EDA),  27
switching devices power issues,  Power_semiconductor_device,  158
interconnect power issues,  Electrical_grid,  672
circuits power issues,  Power_factor,  1976
chip-level power issues,  Power_optimization_(EDA),  27
platform power issues,  Power_Management_Unit,  39
enterprise level and data centers power issues,  Data_center,  1461
electronic design automation,  Electronic_design_automation,  436
high-level and register-transfer level synthesis,  High-level_synthesis,  64
datapath optimization,  Data_conditioning,  9
hardware-software codesign,  Device_driver_synthesis_and_verification,  14
resource binding and sharing,  WebDAV,  731
operations scheduling,  Scheduling_(production_processes),  311
hardware description languages and compilation,  Hardware_description_language,  331
logic synthesis,  Logic_synthesis,  121
combinational synthesis,  Combinatorial_chemistry,  110
circuit optimization,  Logic_optimization,  20
sequential synthesis,  One-pot_synthesis,  48
technology-mapping,  Technology_roadmap,  309
transistor-level synthesis,  Register-transfer_level,  248
modeling and parameter extraction,  Semiconductor_device_modeling,  30
physical design,  Physical_design_(electronics),  153
clock-network synthesis,  Clock_signal,  293
packaging,  Packaging_and_labeling,  935
partitioning and floorplanning,  Floorplan_(microelectronics),  26
placement,  Placement,  31
physical synthesis,  Physical_design_(electronics),  153
power grid design,  Electrical_grid,  672
wire routing,  Wire_transfer,  1207
timing analysis,  Static_timing_analysis,  90
electrical-level simulation,  System-level_simulation,  8
model-order reduction,  Model_order_reduction,  38
compact delay models,  Delay_(audio_effect),  228
static timing analysis,  Static_timing_analysis,  90
statistical timing analysis,  Statistical_static_timing_analysis,  9
transition-based timing analysis,  Static_timing_analysis,  90
methodologies for eda,  Power_optimization_(EDA),  27
best practices for eda,  Design_for_manufacturability,  290
design databases for eda,  EDA_database,  17
software tools for eda,  EDA_database,  17
hardware validation,  Engineering_validation_test,  68
functional verification,  Functional_verification,  46
model checking,  Model_checking,  129
coverage metrics,  Code_coverage,  442
equivalence checking,  Formal_equivalence_checking,  41
semi-formal verification,  Formal_verification,  221
simulation and emulation,  Emulator,  783
transaction-level verification,  Transaction-level_modeling,  45
theorem proving and sat solving,  Boolean_satisfiability_problem,  540
assertion checking,  Assertion_(software_development),  142
physical verification,  Physical_verification,  24
design rule checking,  Design_rule_checking,  75
layout-versus-schematics,  Layout_Versus_Schematic,  37
power and thermal analysis,  Thermal_analysis,  164
timing analysis and sign-off,  Signoff_(electronic_design_automation),  17
post-manufacture validation and debug,  Post-silicon_validation,  38
bug detection localization and diagnosis,  Computer-aided_diagnosis,  72
bug fixing,  Software_bug,  1017
design for debug,  Design_for_testing,  120
hardware test,  Category:Hardware_testing,  23
analog mixed-signal and radio frequency test,  Mixed-signal_integrated_circuit,  106
board- and system-level test,  Test_engineer,  122
defect-based test,  Results_based_testing,  2
design for testability,  Design_for_testing,  120
built-in self-test,  Built-in_self-test,  112
online test and diagnostics,  Electronic_assessment,  37
test data compression,  Data_compression,  1024
fault models and test metrics,  Automatic_test_pattern_generation,  68
memory test and repair,  Built-in_self-test,  112
hardware reliability screening,  Environmental_stress_screening,  45
test-pattern generation and fault simulation,  Automatic_test_pattern_generation,  68
testing with distributed and parallel systems,  Testing_high-performance_computing_applications,  30
robustness,  Robustness_(computer_science),  189
fault tolerance,  Fault_tolerance,  326
error detection and error correction,  Error_detection_and_correction,  755
failure prediction,  Material_failure_theory,  213
failure recovery maintenance and self-repair,  Maintenance_philosophy,  17
redundancy,  Redundancy_(engineering),  402
self-checking mechanisms,  Built-in_self-test,  112
system-level fault tolerance,  Fault_tolerance,  326
design for manufacturability,  Design_for_manufacturability,  290
process variations,  Process_variation_(semiconductor),  20
yield and cost modeling,  Growth_and_yield_modelling,  18
yield and cost optimization,  Yield_management,  311
hardware reliability,  Reliability_engineering,  608
aging of circuits and systems,  Worst-case_circuit_analysis,  23
circuit hardening,  Radiation_hardening,  216
early-life failures and infant mortality,  Infant_mortality,  788
process voltage and temperature variations,  Process_corners,  86
signal integrity and noise analysis,  Signal_integrity,  103
transient errors and upsets,  Single_event_upset,  94
safety critical systems,  Transient errors and upsets,  0
emerging technologies,  Emerging_technologies,  466
analysis and design of emerging devices and systems,  Emerging_technologies,  466
emerging architectures,  Emergent_Design,  35
emerging languages and compilers,  PL/I,  0
emerging simulation,  Modeling_and_simulation,  209
emerging tools and methodologies,  Emerging_technologies,  466
biology-related information processing,  Information_processing,  304
bio-embedded electronics,  Embedded_intelligence,  12
neural systems,  Computation_and_Neural_Systems,  8
circuit substrates,  Printed_circuit_board,  1968
iii-v compounds,  Category:III-V_compounds,  15
carbon based electronics,  Organic_electronics,  103
cellular neural networks,  Cellular_neural_network,  42
flexible and printable circuits,  Flexible_circuit,  16
superconducting circuits,  Superconducting_quantum_computing,  39
electromechanical systems,  Electromechanics,  289
microelectromechanical systems,  Microelectromechanical_systems,  862
nanoelectromechanical systems,  Nanoelectromechanical_systems,  119
emerging interfaces,  Emerging_technologies,  466
memory and dense storage,  Areal_density_(computer_storage),  50
emerging optical and photonic technologies,  Photonics,  336
reversible logic,  Reversible_computing,  111
plasmonics,  Plasmon,  307
quantum technologies,  Quantum_technology,  142
single electron devices,  Coulomb_blockade,  91
tunneling devices,  Tunnel_diode,  338
quantum computation,  Quantum_computing,  2668
quantum communication and cryptography,  Quantum_cryptography,  363
quantum error correction and fault tolerance,  Quantum_error_correction,  70
quantum dots and cellular automata,  Quantum_dot_cellular_automaton,  22
spintronics and magnetic technologies,  Spintronics,  300
computer systems organization,  Computer_architecture,  1037
architectures,  Architecture,  2462
serial architectures,  Bit-serial_architecture,  21
reduced instruction set computing,  Reduced_instruction_set_computing,  640
complex instruction set computing,  Complex_instruction_set_computing,  308
superscalar architectures,  Superscalar_processor,  212
pipeline computing,  Pipeline_(computing),  428
stack machines,  Stack_machine,  159
parallel architectures,  Parallel_computing,  902
very long instruction word,  Very_long_instruction_word,  161
interconnection architectures,  Interconnection,  102
multiple instruction multiple data,  MIMD,  133
cellular architectures,  Cellular_architecture,  30
multiple instruction single data,  MISD,  72
single instruction multiple data,  SIMD,  502
systolic arrays,  Systolic_array,  65
multicore architectures,  Multi-core_processor,  1140
distributed architectures,  Distributed_computing,  1164
client-server architectures,  Client–server_model,  0
n-tier architectures,  Multitier_architecture,  848
peer-to-peer architectures,  Peer-to-peer,  1613
grid computing,  Grid_computing,  566
other architectures,  Architecture,  2462
neural networks,  Biological_neural_network,  226
reconfigurable computing,  Reconfigurable_computing,  78
analog computers,  Analog_computer,  697
data flow architectures,  Dataflow_architecture,  92
heterogeneous (hybrid) systems,  Heterogeneous_computing,  131
self-organizing autonomic computing,  Autonomic_computing,  90
optical computing,  Optical_computing,  190
quantum computing,  Quantum_computing,  2668
