word, skills
reference, [(General and reference;1.0000000000000002); (Reference works;1.0000000000000002); (Context specific languages;0.43039467328846187); (Reference models;1.0000000000000002)]
references, [(General and reference;0.6647184274744125); (Reference works;0.6647184274744125); (Reference models;0.6647184274744125)]
quote, [(General and reference;0.4798326468137161); (Reference works;0.4798326468137161); (Hardware description languages and compilation;0.38438054705870794); (System description languages;0.38438054705870794); (Architecture description languages;0.38438054705870794); (Description logics;0.38438054705870794); (Web Services Description Language;0.38438054705870794); (Universal Description Discovery and Integration;0.38438054705870794); (Web data description languages;0.38438054705870794); (Semantic web description languages;0.38438054705870794); (Resource Description Framework;0.38438054705870794); (Reference models;0.4798326468137161)]
referring, [(General and reference;0.45580166994783355); (Reference works;0.45580166994783355); (Pointing devices;0.4355853660995685); (Pointing;0.4355853660995685); (Reference models;0.45580166994783355)]
refer, [(General and reference;0.4541634866005494); (Reference works;0.4541634866005494); (Reference models;0.4541634866005494)]
mention, [(General and reference;0.4410483847974618); (Reference works;0.4410483847974618); (Reference models;0.4410483847974618)]
mentioning, [(General and reference;0.4336290107976579); (Reference works;0.4336290107976579); (Naming and addressing;0.4790514163185748); (Reference models;0.4336290107976579)]
context, [(General and reference;0.43039467328846187); (Reference works;0.43039467328846187); (Context specific languages;1); (Resource Description Framework;0.48497831394998664); (Relevance assessment;0.5039736017152411); (Reference models;0.43039467328846187)]
refers, [(General and reference;0.4240988800089736); (Reference works;0.4240988800089736); (Reference models;0.4240988800089736)]
remark, [(General and reference;0.4110196615800911); (Reference works;0.4110196615800911); (Query suggestion;0.5167016895018274); (Speech / audio search;0.431621209218259); (Speech recognition;0.431621209218259); (Reference models;0.4110196615800911)]
general and reference, [(General and reference;1)]
document, [(Document types;1); (Updating Files;0.4576611737348786); (Financial Report Auditing;0.4803608782829048); (Network File System (NFS) protocol;0.41787530771469783); (File systems management;0.41787530771469783); (Documentation;0.5725954038806883); (Hashed file organization;0.41787530771469783); (Indexed file organization;0.41787530771469783); (Extent-based file structures;0.41787530771469783); (Document representation;1); (Document structure;1); (Document topic models;1); (Document collection models;1); (Document filtering;1); (Structure and multilingual text search;0.45369065491170874); (Structured text search;0.45369065491170874); (File system security;0.41787530771469783); (Text input;0.45369065491170874); (Graphics file formats;0.41787530771469783); (Document management and text processing;0.45369065491170874); (Document searching;1); (Document management;1); (Text editing;0.45369065491170874); (Document metadata;1); (Document capture;1); (Document analysis;1); (Document scanning;1); (Document preparation;1); (Document scripting languages;1)]
documents, [(Document types;0.7197998502964821); (Updating Files;0.6184510457925965); (Network File System (NFS) protocol;0.4330096738552526); (File systems management;0.4330096738552526); (Documentation;0.6371333252903593); (Magnetic tapes;0.5025481035036794); (Hashed file organization;0.4330096738552526); (Indexed file organization;0.4330096738552526); (Extent-based file structures;0.4330096738552526); (Null values in records;0.5897531347289982); (Digital libraries and archives;0.3783609827409476); (Document representation;0.7197998502964821); (Document structure;0.7197998502964821); (Document topic models;0.7197998502964821); (Document collection models;0.7197998502964821); (Document filtering;0.7197998502964821); (Digital signatures;0.3530028424273473); (File system security;0.4330096738552526); (Graphics file formats;0.4330096738552526); (Document management and text processing;0.7197998502964821); (Document searching;0.7197998502964821); (Document management;0.7197998502964821); (Document metadata;0.7197998502964821); (Document capture;0.7197998502964821); (Document analysis;0.7197998502964821); (Document scanning;0.7197998502964821); (Document preparation;0.7197998502964821); (Document scripting languages;0.7197998502964821)]
documentation, [(Document types;0.5725954038806883); (Verification;0.45800965854439163); (Application specific integrated circuits;0.41955503745531303); (Application specific instruction set processors;0.41955503745531303); (Application specific processors;0.41955503745531303); (Functional verification;0.45800965854439163); (Semi-formal verification;0.45800965854439163); (Transaction-level verification;0.45800965854439163); (Physical verification;0.45800965854439163); (Protocol testing and verification;0.45800965854439163); (Application layer protocols;0.41955503745531303); (Network File System (NFS) protocol;0.4134985027965637); (File systems management;0.4134985027965637); (Software verification;0.45800965854439163); (Specialized application languages;0.41955503745531303); (Application specific development environments;0.41955503745531303); (Rapid application development;0.41955503745531303); (Software verification and validation;0.45800965854439163); (Formal software verification;0.45800965854439163); (Documentation;1); (Proof complexity;0.4475315408138778); (Interactive proof systems;0.4475315408138778); (Logic and verification;0.45800965854439163); (Proof theory;0.4475315408138778); (Verification by model checking;0.45800965854439163); (Theory and algorithms for application domains;0.41955503745531303); (Program verification;0.45800965854439163); (Application servers;0.41955503745531303); (Enterprise application integration tools;0.41955503745531303); (Hashed file organization;0.4134985027965637); (Indexed file organization;0.4134985027965637); (Extent-based file structures;0.4134985027965637); (Document representation;0.5725954038806883); (Document structure;0.5725954038806883); (Document topic models;0.5725954038806883); (Document collection models;0.5725954038806883); (Document filtering;0.5725954038806883); (File system security;0.4134985027965637); (Software and application security;0.41955503745531303); (Web application security;0.41955503745531303); (Visualization application domains;0.41955503745531303); (Model verification and validation;0.45800965854439163); (Graphics file formats;0.4134985027965637); (Enterprise application integration;0.41955503745531303); (Document management and text processing;0.5725954038806883); (Document searching;0.5725954038806883); (Document management;0.5725954038806883); (Document metadata;0.5725954038806883); (Document capture;0.5725954038806883); (Document analysis;0.5725954038806883); (Document scanning;0.5725954038806883); (Document preparation;0.5725954038806883); (Document scripting languages;0.5725954038806883)]
